,,,,,,Scoring,,,,,Goals,,,,Assists,,,Shots,,,Ice Time,,Faceoffs,,,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
415,Taylor Raddysh,27,NYR,RW,67,9,10,19,5,12,8,0,1,0,9,1,0,52,17.3,105,796:23,11:53,3,12,20.0,40,47,14,25,,raddyta01
416,Matt Roy,30,WSH,D,78,2,17,19,18,12,2,0,0,0,17,0,0,93,2.2,212,1608:13,20:37,0,0,,145,116,12,68,,royma04
417,Max Sasson,25,VAN,F,66,13,6,19,-13,26,13,0,0,0,5,1,0,62,21.0,114,773:27,11:43,122,168,42.1,36,30,12,38,,sassoma01
418,Samuel Girard,27,2TM,D,60,3,16,19,17,23,3,0,0,1,16,0,0,41,7.3,144,1086:01,18:06,0,0,,58,21,11,54,,girarsa01
418,Samuel Girard,27,COL,D,40,3,9,12,12,15,3,0,0,1,9,0,0,31,9.7,109,707:28,17:41,0,0,,37,15,9,36,,girarsa01
418,Samuel Girard,27,PIT,D,20,0,7,7,5,8,0,0,0,0,7,0,0,10,0.0,35,378:33,18:56,0,0,,21,6,2,18,,girarsa01
419,Tye Kartye,24,2TM,F,63,6,13,19,-7,36,6,0,0,0,13,0,0,53,11.3,131,750:33,11:55,3,9,25.0,40,171,16,30,,kartyty01
419,Tye Kartye,24,SEA,F,40,3,5,8,-6,21,3,0,0,0,5,0,0,29,10.3,75,428:01,10:42,3,9,25.0,24,98,9,19,,kartyty01
419,Tye Kartye,24,NYR,F,23,3,8,11,-1,15,3,0,0,0,8,0,0,24,12.5,56,322:32,14:01,0,0,,16,73,7,11,,kartyty01
420,Kevin Bahl,25,CGY,D,76,4,14,18,2,47,4,0,0,2,12,1,1,57,7.0,144,1668:06,21:57,0,0,,99,114,42,90,,bahlke01
421,Jonas Brodin,32,MIN,D,61,4,14,18,19,16,4,0,0,1,13,1,0,75,5.3,163,1239:51,20:20,0,0,,124,10,13,44,,brodijo01
422,William Carrier,31,CAR,LW,69,7,11,18,5,18,7,0,0,2,11,0,0,79,8.9,171,742:06,10:45,7,11,38.9,18,171,15,19,,carriwi01
423,Igor Chernyshov,20,SJS,LW,26,8,10,18,2,4,6,2,0,2,8,2,0,44,18.2,75,390:41,15:02,0,0,,12,17,4,24,,chernig01
424,Casey Cizikas,34,NYI,C,80,10,8,18,-3,20,9,0,1,0,7,0,1,79,12.7,152,940:47,11:46,349,290,54.6,57,153,10,49,,cizikca01
425,Michael Eyssimont,29,BOS,C,55,8,10,18,-4,31,7,1,0,1,7,3,0,106,7.5,189,597:19,10:52,3,3,50.0,20,52,4,37,,eyssimi01
426,Dakota Joshua,29,TOR,C,55,10,8,18,-2,49,10,0,0,2,8,0,0,52,19.2,93,673:39,12:15,6,19,24.0,32,195,9,20,,joshuda01
427,Adam Klapka,25,CGY,F,77,6,12,18,-12,112,5,1,0,0,11,1,0,77,7.8,176,816:05,10:36,12,24,33.3,50,290,14,34,,klapkad01
428,Tyler Kleven,24,OTT,D,70,3,15,18,2,53,3,0,0,0,13,0,2,90,3.3,194,1214:25,17:21,0,0,,95,126,30,82,,klevety01
429,Steven Lorentz,29,TOR,C,70,7,11,18,-1,16,5,0,2,0,11,0,0,69,10.1,121,826:06,11:48,54,62,46.6,48,146,17,34,,lorenst01
430,Liam Ohgren,22,2TM,LW,67,8,10,18,-16,2,8,0,0,0,9,0,1,87,9.2,183,873:09,13:02,9,11,45.0,38,68,16,41,,ohgreli01
430,Liam Ohgren,22,MIN,LW,18,0,0,0,-3,0,0,0,0,0,0,0,0,18,0.0,40,171:36,9:32,2,1,66.7,8,29,1,7,,ohgreli01
430,Liam Ohgren,22,VAN,LW,49,8,10,18,-13,2,8,0,0,0,9,0,1,69,11.6,143,701:33,14:19,7,10,41.2,30,39,15,34,,ohgreli01
431,Kyle Palmieri,34,NYI,RW,25,6,12,18,-2,8,4,1,1,1,8,4,0,71,8.5,126,471:55,18:53,2,2,50.0,9,19,8,18,,palmiky01
432,Colton Parayko,32,STL,D,75,4,14,18,-6,23,4,0,0,0,14,0,0,102,3.9,234,1667:33,22:14,0,0,,169,94,32,91,,parayco01
433,Marcus Pettersson,29,VAN,D,80,3,15,18,-17,60,3,0,0,1,15,0,0,66,4.5,178,1718:09,21:29,0,0,,135,79,17,83,,pettema01
434,Matthew Robertson,24,NYR,D,71,6,12,18,-3,38,6,0,0,2,12,0,0,79,7.6,213,1236:26,17:25,0,0,,79,105,9,52,,roberma02
435,Eric Robinson,30,CAR,LW,66,12,6,18,6,6,12,0,0,3,5,0,1,81,14.8,178,751:33,11:23,1,12,7.7,13,89,9,26,,robiner01
436,Braden Schneider,24,NYR,D,81,2,16,18,-4,26,2,0,0,0,16,0,0,101,2.0,253,1656:35,20:27,0,0,,140,162,21,95,,schnebr01
437,Max Shabanov,25,NYI,F,44,5,13,18,-5,2,5,0,0,0,8,5,0,56,8.9,114,602:03,13:41,0,2,0.0,16,27,11,35,,shabama01
438,Kevin Stenlund,29,UTA,C,78,4,14,18,-10,24,3,0,1,0,13,0,1,66,6.1,165,1130:00,14:29,602,506,54.3,61,42,12,50,,stenlke01
439,Ryan Winterton,22,SEA,C,66,4,14,18,3,15,4,0,0,1,14,0,0,83,4.8,154,787:45,11:56,0,6,0.0,30,71,20,35,,wintery01
440,Denver Barkey,20,PHI,C,42,5,12,17,-6,16,4,1,0,0,9,3,0,43,11.6,76,558:53,13:18,3,6,33.3,19,42,8,26,,barkede01
441,Teddy Blueger,31,VAN,C,33,9,8,17,-9,20,5,1,3,1,8,0,0,50,18.0,95,542:54,16:27,194,204,48.7,14,54,8,26,,bluegte01
442,Berkly Catton,20,SEA,F,64,7,10,17,-8,29,6,1,0,2,9,1,0,77,9.1,160,824:59,12:53,69,86,44.5,28,7,16,38,,cattobe01
443,Jalen Chatfield,29,CAR,D,72,2,15,17,15,18,2,0,0,1,15,0,0,100,2.0,262,1450:01,20:08,0,0,,63,36,29,68,,chatfja01
444,Brian Dumoulin,34,LAK,D,80,2,15,17,1,20,2,0,0,0,14,0,1,61,3.3,170,1422:13,17:47,0,0,,88,36,21,92,,dumoubr01
445,Ryker Evans,24,SEA,D,65,8,9,17,7,38,7,0,1,0,8,1,0,45,17.8,119,1155:19,17:46,0,0,,72,45,6,48,,evansry01
446,Radek Faksa,32,DAL,C,57,2,15,17,2,16,1,0,1,0,13,0,2,35,5.7,76,667:28,11:43,230,197,53.9,42,75,14,18,,faksara01
447,Tyson Foerster,24,PHI,RW,28,13,4,17,8,20,10,3,0,2,3,1,0,59,22.0,102,483:21,17:16,1,1,50.0,24,27,11,17,,foersty01
448,Victor Hedman,35,TBL,D,33,1,16,17,-1,10,1,0,0,0,10,6,0,50,2.0,135,622:37,18:52,0,0,,44,19,8,40,,hedmavi01
449,Nick Jensen,35,OTT,D,61,4,13,17,-2,22,4,0,0,0,13,0,0,36,11.1,121,1037:32,17:01,0,0,,66,38,11,51,,jenseni02
450,Kasperi Kapanen,29,EDM,RW,40,8,9,17,5,14,8,0,0,0,9,0,0,64,12.5,108,584:55,14:37,0,3,0.0,18,75,7,25,,kapanka01
451,Keegan Kolesar,28,VEG,RW,81,6,11,17,-17,55,6,0,0,0,10,0,1,67,9.0,139,933:56,11:32,12,19,38.7,42,270,6,39,,koleske01
452,Tyler Seguin,34,DAL,C,27,7,10,17,10,2,6,1,0,2,7,3,0,31,22.6,69,449:52,16:40,126,109,53.6,6,18,3,21,,seguity01
453,Conor Sheary,33,NYR,LW,61,7,10,17,2,14,6,0,1,1,8,2,0,79,8.9,165,862:26,14:08,16,14,53.3,36,22,18,42,,shearco01
454,Fedor Svechkov,22,NSH,C,69,4,13,17,-4,20,3,0,1,0,13,0,0,68,5.9,139,829:51,12:02,228,306,42.7,27,60,19,49,,svechfe01
455,Tyler Tucker,25,STL,D,67,3,14,17,-3,81,3,0,0,0,14,0,0,67,4.5,157,956:57,14:17,0,0,,50,100,13,55,,tuckety01
456,Jason Dickinson,30,2TM,C,64,7,10,17,-10,20,6,0,1,1,9,0,1,73,9.6,152,993:42,15:32,438,450,49.3,50,85,13,41,,dickija01
456,Jason Dickinson,30,CHI,C,47,6,7,13,-7,10,5,0,1,1,6,0,1,52,11.5,111,737:54,15:42,342,349,49.5,36,51,9,34,,dickija01
456,Jason Dickinson,30,EDM,C,17,1,3,4,-3,10,1,0,0,0,3,0,0,21,4.8,41,255:48,15:03,96,101,48.7,14,34,4,7,,dickija01
457,Phillip Danault,32,2TM,C,75,6,11,17,-3,26,5,0,1,1,10,0,1,91,6.6,178,1167:26,15:34,543,448,54.8,40,63,12,48,,danauph01
457,Phillip Danault,32,LAK,C,30,0,5,5,3,6,0,0,0,0,4,0,1,42,0.0,88,489:40,16:19,219,195,52.9,11,22,4,25,,danauph01
457,Phillip Danault,32,MTL,C,45,6,6,12,-6,20,5,0,1,1,6,0,0,49,12.2,90,677:46,15:04,324,253,56.2,29,41,8,23,,danauph01
458,Michael McCarron,30,2TM,RW,78,8,9,17,-16,91,6,0,2,1,9,0,0,107,7.5,198,1094:06,14:02,517,467,52.5,77,203,24,38,,mccarmi01
458,Michael McCarron,30,NSH,RW,59,5,7,12,-15,73,4,0,1,0,7,0,0,86,5.8,153,855:02,14:30,428,383,52.8,60,165,17,32,,mccarmi01
458,Michael McCarron,30,MIN,RW,19,3,2,5,-1,18,2,0,1,1,2,0,0,21,14.3,45,239:04,12:35,89,84,51.4,17,38,7,6,,mccarmi01
459,Vinnie Hinostroza,31,2TM,C,64,5,12,17,-14,29,5,0,0,2,10,2,0,63,7.9,125,697:19,10:54,22,25,46.8,26,41,19,49,,hinosvi01
459,Vinnie Hinostroza,31,MIN,C,48,3,7,10,-8,15,3,0,0,2,5,2,0,46,6.5,102,494:25,10:18,20,20,50.0,19,30,14,38,,hinosvi01
459,Vinnie Hinostroza,31,FLA,C,16,2,5,7,-6,14,2,0,0,0,5,0,0,17,11.8,23,202:54,12:41,2,5,28.6,7,11,5,11,,hinosvi01
460,Jonny Brodzinski,32,NYR,C,55,6,10,16,-1,12,6,0,0,0,8,2,0,63,9.5,153,614:27,11:10,44,39,53.0,19,47,14,20,,brodzjo01
461,Tyson Jost,27,NSH,C,68,8,8,16,-20,26,7,0,1,0,7,0,1,95,8.4,172,841:21,12:22,38,63,37.6,31,67,22,36,,jostty01
462,Wyatt Kaiser,23,CHI,D,76,6,10,16,-17,34,6,0,0,1,10,0,0,73,8.2,172,1488:44,19:35,0,0,,67,44,36,89,,kaisewy01
463,Cole Koepke,27,WPG,LW,64,7,9,16,0,16,6,0,1,1,9,0,0,84,8.3,161,665:38,10:24,0,2,0.0,17,180,14,29,,koepkco01
464,Hendrix Lapierre,23,WSH,C,73,4,12,16,0,31,4,0,0,0,12,0,0,53,7.5,104,640:25,8:46,117,176,39.9,22,48,7,32,,lapiehe01
465,Jacob Middleton,30,MIN,D,74,2,14,16,1,74,2,0,0,0,14,0,0,62,3.2,146,1294:13,17:29,0,0,,117,85,10,46,,middlja01
466,Adam Pelech,31,NYI,D,81,4,12,16,4,48,3,0,1,2,11,0,1,119,3.4,316,1695:32,20:56,0,0,,124,66,31,70,,pelecad01
467,Jonas Siegenthaler,28,NJD,D,81,0,16,16,-6,48,0,0,0,0,14,0,2,58,0.0,159,1577:20,19:28,0,0,,133,92,21,89,,siegejo01
468,Alex Steeves,26,BOS,F,43,9,7,16,6,34,7,1,1,0,5,2,0,55,16.4,109,512:54,11:56,3,4,42.9,26,144,9,23,,steeval02
469,Oskar Sundqvist,31,STL,C,51,4,12,16,-18,26,4,0,0,0,11,1,0,36,11.1,70,661:43,12:58,192,225,46.0,26,65,12,22,,sundqos01
470,Adam Wilsby,25,NSH,D,57,1,15,16,2,29,1,0,0,0,15,0,0,59,1.7,135,967:57,16:59,0,0,,46,28,14,46,,wilsbad01
471,Andrew Mangiapane,29,2TM,LW,62,8,8,16,-21,42,8,0,0,1,8,0,0,58,13.8,131,774:02,12:29,3,5,37.5,28,65,8,36,,mangian01
471,Andrew Mangiapane,29,EDM,LW,52,7,7,14,-19,36,7,0,0,1,7,0,0,51,13.7,111,655:07,12:36,2,4,33.3,19,51,7,33,,mangian01
471,Andrew Mangiapane,29,CHI,LW,10,1,1,2,-2,6,1,0,0,0,1,0,0,7,14.3,20,118:55,11:54,1,1,50.0,9,14,1,3,,mangian01
472,Connor Murphy,32,2TM,D,79,5,11,16,-4,66,5,0,0,0,10,0,1,68,7.4,162,1386:40,17:33,0,0,,137,89,17,65,,murphco02
472,Connor Murphy,32,CHI,D,60,4,9,13,-3,46,4,0,0,0,8,0,1,55,7.3,124,994:15,16:34,0,0,,87,62,13,50,,murphco02
472,Connor Murphy,32,EDM,D,19,1,2,3,-1,20,1,0,0,0,2,0,0,13,7.7,38,392:25,20:39,0,0,,50,27,4,15,,murphco02
473,Sam Carrick,33,2TM,C,73,9,7,16,2,65,9,0,0,1,6,0,1,75,12.0,144,764:20,10:28,296,244,54.8,35,106,13,29,,carrisa01
473,Sam Carrick,33,NYR,C,60,4,6,10,-2,53,4,0,0,0,5,0,1,56,7.1,112,624:30,10:25,214,183,53.9,29,86,10,24,,carrisa01
473,Sam Carrick,33,BUF,C,13,5,1,6,4,12,5,0,0,1,1,0,0,19,26.3,32,139:50,10:45,82,61,57.3,6,20,3,5,,carrisa01
474,Warren Foegele,29,2TM,LW,67,12,4,16,0,18,12,0,0,4,4,0,0,103,11.7,222,920:30,13:44,13,15,46.4,19,73,14,66,,foegewa01
474,Warren Foegele,29,LAK,LW,47,7,2,9,-6,14,7,0,0,1,2,0,0,78,9.0,166,693:21,14:45,9,15,37.5,10,49,11,52,,foegewa01
474,Warren Foegele,29,OTT,LW,20,5,2,7,6,4,5,0,0,3,2,0,0,25,20.0,56,227:09,11:21,4,0,100.0,9,24,3,14,,foegewa01
475,Uvis Balinskis,29,FLA,D,54,5,10,15,-13,30,2,3,0,1,7,3,0,66,7.6,131,884:03,16:22,0,0,,42,71,23,33,,balinuv01
476,Colin Blackwell,32,DAL,C,70,4,11,15,-2,40,4,0,0,1,11,0,0,61,6.6,145,832:29,11:54,124,163,43.2,37,112,17,31,,blackco01
477,William Borgen,29,NYR,D,74,5,10,15,2,41,5,0,0,2,10,0,0,69,7.2,180,1336:51,18:04,0,0,,95,110,17,58,,borgewi01
478,Paul Cotter,26,NJD,C,78,9,6,15,-22,19,9,0,0,2,5,1,0,57,15.8,139,831:02,10:39,68,62,52.3,21,191,7,27,,cottepa01
479,Kirby Dach,25,MTL,C,36,8,7,15,-2,29,8,0,0,0,5,2,0,47,17.0,92,494:11,13:44,48,68,41.4,30,53,11,17,,dachki01
480,Brenden Dillon,35,NJD,D,81,3,12,15,-12,89,3,0,0,2,11,0,1,53,5.7,125,1456:11,17:59,0,0,,102,200,10,56,,dillobr01
481,Lars Eller,36,OTT,C,67,5,10,15,6,12,4,0,1,2,10,0,0,67,7.5,119,763:57,11:24,329,277,54.3,34,50,12,35,,ellerla01
482,Nicolas Hague,27,NSH,D,62,3,12,15,-10,47,3,0,0,1,11,0,1,56,5.4,166,1217:04,19:38,0,0,,54,76,15,45,,hagueni01
483,Drew Helleson,24,ANA,D,59,2,13,15,-4,20,2,0,0,0,11,0,2,39,5.1,125,1003:19,17:00,0,0,,78,62,25,43,,helledr01
484,Adam Henrique,35,EDM,C,64,3,12,15,-11,16,3,0,0,0,7,3,2,91,3.3,163,848:03,13:15,324,276,54.0,75,34,13,36,,henriad01
485,Ben Hutton,32,VEG,D,55,6,9,15,2,19,6,0,0,1,9,0,0,71,8.5,148,802:15,14:35,0,0,,55,28,19,42,,huttobe01
486,Dominic James,23,TBL,C,43,7,8,15,4,8,7,0,0,0,8,0,0,56,12.5,113,526:11,12:14,139,137,50.4,13,58,14,41,,jamesdo01
487,Henri Jokiharju,26,BOS,D,41,2,13,15,2,14,2,0,0,1,11,2,0,40,5.0,109,729:59,17:48,0,0,,37,27,6,48,,jokihhe01
488,Kaedan Korczak,25,VEG,D,77,3,12,15,6,26,3,0,0,0,12,0,0,59,5.1,152,1231:15,15:59,0,0,,95,97,11,88,,korczka01
489,Scott Mayfield,33,NYI,D,79,2,13,15,-11,83,2,0,0,0,13,0,0,71,2.8,186,1299:56,16:27,0,0,,81,75,19,66,,mayfisc01
490,Ben Meyers,27,SEA,F,50,7,8,15,-9,14,7,0,0,2,8,0,0,59,11.9,112,594:23,11:53,182,148,55.2,13,63,11,27,,meyerbe01
491,Nick Paul,30,TBL,LW,50,7,8,15,-14,32,6,1,0,1,6,2,0,65,10.8,136,675:57,13:31,289,243,54.3,22,75,8,30,,paulni01
492,Olli Määttä,31,2TM,D,41,2,13,15,-5,4,2,0,0,1,13,0,0,31,6.5,64,693:33,16:55,0,0,,56,3,13,42,,maattol01
492,Olli Määttä,31,UTA,D,22,0,1,1,-5,2,0,0,0,0,1,0,0,10,0.0,23,267:43,12:10,0,0,,17,1,5,16,,maattol01
492,Olli Määttä,31,CGY,D,19,2,12,14,0,2,2,0,0,1,12,0,0,21,9.5,41,425:50,22:25,0,0,,39,2,8,26,,maattol01
493,Ondřej Palát,34,2TM,LW,79,5,10,15,-11,14,4,1,0,0,9,1,0,83,6.0,169,1013:47,12:50,7,9,43.8,67,133,12,41,,palaton01
493,Ondřej Palát,34,NJD,LW,51,4,6,10,-5,12,4,0,0,0,5,1,0,53,7.5,108,649:58,12:45,6,8,42.9,41,89,7,26,,palaton01
493,Ondřej Palát,34,NYI,LW,28,1,4,5,-6,2,0,1,0,0,4,0,0,30,3.3,61,363:49,13:00,1,1,50.0,26,44,5,15,,palaton01
494,Zach Whitecloud,29,2TM,D,76,2,13,15,-7,30,2,0,0,0,13,0,0,65,3.1,189,1549:36,20:23,0,0,,131,120,15,69,,whiteza01
494,Zach Whitecloud,29,VEG,D,47,2,5,7,-8,20,2,0,0,0,5,0,0,33,6.1,105,882:04,18:46,0,0,,63,73,9,35,,whiteza01
494,Zach Whitecloud,29,CGY,D,29,0,8,8,1,10,0,0,0,0,8,0,0,32,0.0,84,667:32,23:01,0,0,,68,47,6,34,,whiteza01
495,Mason Appleton,30,DET,C,65,6,8,14,-4,44,6,0,0,2,7,0,1,63,9.5,114,879:04,13:31,6,16,27.3,29,89,1,22,,applema01
496,Ben Chiarot,34,DET,D,81,5,9,14,-8,75,5,0,0,0,9,0,0,102,4.9,256,1689:28,20:51,0,0,,159,170,25,74,,chiarbe01
497,Sam Dickinson,19,SJS,D,70,1,13,14,-7,20,1,0,0,0,13,0,0,72,1.4,198,1168:44,16:42,0,0,,68,70,20,82,,dickisa01
498,Nikita Grebenkin,22,PHI,RW,55,4,10,14,-7,46,4,0,0,0,10,0,0,32,12.5,73,620:46,11:17,4,2,66.7,17,86,13,35,,grebeni01
499,Ross Johnston,31,ANA,LW,62,3,11,14,0,107,3,0,0,0,11,0,0,33,9.1,72,604:07,9:45,5,6,45.5,16,192,5,34,,johnsro02
500,Nick Lardis,20,CHI,LW,40,9,5,14,-18,10,7,2,0,0,4,1,0,56,16.1,118,505:32,12:38,1,1,50.0,12,56,5,19,,lardini01
501,Beck Malenstyn,27,BUF,LW,80,7,7,14,1,38,6,0,1,0,7,0,0,72,9.7,137,895:47,11:12,10,15,40.0,75,276,12,35,,malenbe01
502,Vladislav Namestnikov,33,WPG,C,60,8,6,14,-13,28,6,2,0,1,6,0,0,76,10.5,148,826:36,13:47,92,133,40.9,37,76,10,46,,namesvl01
503,Jamie Oleksiak,33,SEA,D,77,5,9,14,10,34,5,0,0,2,9,0,0,75,6.7,162,1301:46,16:54,0,0,,105,110,19,71,,oleksja01
504,Andrew Peeke,27,BOS,D,76,5,9,14,-12,22,5,0,0,0,9,0,0,81,6.2,206,1472:25,19:22,0,0,,132,104,10,59,,peekean01
505,Michael Rasmussen,26,DET,C,64,6,8,14,-10,8,5,0,1,0,8,0,0,65,9.2,133,809:36,12:39,131,155,45.8,63,64,10,28,,rasmumi01
506,Aatu Räty,23,VAN,C,64,4,10,14,-4,22,4,0,0,1,10,0,0,63,6.3,139,767:16,11:59,449,294,60.4,14,161,10,29,,ratyaa01
507,Rasmus Ristolainen,31,PHI,D,44,1,13,14,10,16,1,0,0,0,10,1,2,58,1.7,142,940:59,21:23,0,0,,63,48,12,39,,ristora01
508,Dylan Samberg,27,WPG,D,64,1,13,14,7,14,1,0,0,0,13,0,0,83,1.2,203,1397:39,21:50,0,0,,114,51,26,64,,sambedy01
509,Troy Stecher,31,2TM,D,63,3,11,14,-9,20,3,0,0,1,11,0,0,62,4.8,168,1208:50,19:11,0,0,,79,30,12,70,,stechtr01
509,Troy Stecher,31,EDM,D,6,0,0,0,0,8,0,0,0,0,0,0,0,3,0.0,9,81:44,13:37,0,0,,3,2,2,8,,stechtr01
509,Troy Stecher,31,TOR,D,57,3,11,14,-9,12,3,0,0,1,11,0,0,59,5.1,159,1127:06,19:46,0,0,,76,28,10,62,,stechtr01
510,Alex Turcotte,24,LAK,C,62,3,11,14,-8,21,3,0,0,0,11,0,0,67,4.5,138,671:11,10:50,257,218,54.1,33,51,14,27,,turcoal02
511,Miles Wood,30,CBJ,LW,53,8,6,14,-9,24,8,0,0,1,5,0,1,70,11.4,130,630:19,11:54,4,11,26.7,19,63,5,33,,woodmi01
512,Tanner Pearson,33,2TM,LW,55,7,7,14,9,27,7,0,0,2,7,0,0,52,13.5,100,589:33,10:43,4,16,20.0,26,72,6,26,,pearsta01
512,Tanner Pearson,33,WPG,LW,52,7,6,13,7,25,7,0,0,2,6,0,0,49,14.3,95,566:00,10:53,4,16,20.0,26,68,6,26,,pearsta01
512,Tanner Pearson,33,BUF,LW,3,0,1,1,2,2,0,0,0,0,1,0,0,3,0.0,5,23:33,7:51,0,0,,0,4,0,0,,pearsta01
513,Nick Foligno,38,2TM,LW,53,4,10,14,1,44,4,0,0,0,6,2,2,49,8.2,79,667:17,12:35,201,207,49.3,33,125,7,30,,foligni01
513,Nick Foligno,38,CHI,LW,37,3,8,11,2,27,3,0,0,0,5,2,1,30,10.0,51,473:43,12:48,162,166,49.4,26,87,4,20,,foligni01
513,Nick Foligno,38,MIN,LW,16,1,2,3,-1,17,1,0,0,0,1,0,1,19,5.3,28,193:34,12:06,39,41,48.8,7,38,3,10,,foligni01
514,Emil Andrae,23,PHI,D,60,2,11,13,15,22,2,0,0,0,10,1,0,35,5.7,116,914:15,15:14,2,1,66.7,57,68,6,43,,andraem01
515,Jonathan Aspirot,26,BOS,D,60,3,10,13,30,43,3,0,0,0,9,1,0,45,6.7,126,1000:10,16:40,0,0,,80,85,10,55,,aspirjo01
516,Jesper Boqvist,27,FLA,C,72,4,9,13,-11,16,4,0,0,1,8,1,0,62,6.5,140,848:36,11:47,33,80,29.2,32,141,9,54,,boqvije01
517,Gavin Brindley,21,COL,C,56,6,7,13,2,8,6,0,0,4,7,0,0,62,9.7,109,534:53,9:33,13,21,38.2,15,37,5,20,,brindga01
518,Marcus Foligno,34,MIN,LW,56,8,5,13,-12,67,6,2,0,0,5,0,0,65,12.3,106,719:20,12:51,9,11,45.0,47,180,11,29,,foligma01
519,Carl Grundström,28,PHI,RW,46,9,4,13,7,19,9,0,0,1,3,0,1,55,16.4,109,543:51,11:49,7,18,28.0,23,136,7,19,,grundca01
520,Radko Gudas,35,ANA,D,56,2,11,13,-2,67,2,0,0,0,11,0,0,63,3.2,169,906:15,16:11,0,0,,87,164,8,44,,gudasra01
521,Jeremy Lauzon,28,VEG,D,67,1,12,13,-3,89,1,0,0,0,12,0,0,73,1.4,174,1152:32,17:12,0,0,,97,247,10,44,,lauzoje01
522,Nicklaus Perbix,27,NSH,D,78,3,10,13,-13,20,3,0,0,0,8,0,2,80,3.8,182,1488:11,19:05,0,0,,95,31,23,94,,perbini01
523,Sam Rinzel,21,CHI,D,53,3,10,13,-9,44,3,0,0,1,9,1,0,82,3.7,199,967:43,18:16,0,0,,62,48,13,66,,rinzesa01
524,Jeff Skinner,33,SJS,LW,32,6,7,13,-8,14,4,2,0,0,5,2,0,56,10.7,117,394:57,12:21,3,8,27.3,11,17,10,27,,skinnje01
525,Trevor van Riemsdyk,34,WSH,D,67,3,10,13,6,18,3,0,0,2,10,0,0,44,6.8,104,1084:15,16:11,0,0,,95,12,17,46,,vanritr01
526,Cole Reinhardt,25,2TM,LW,58,8,5,13,-4,19,8,0,0,2,5,0,0,46,17.4,100,612:08,10:33,7,4,63.6,16,127,4,28,,reinhco01
526,Cole Reinhardt,25,VEG,LW,44,3,4,7,-6,19,3,0,0,0,4,0,0,34,8.8,74,430:42,9:47,6,4,60.0,8,84,3,20,,reinhco01
526,Cole Reinhardt,25,FLA,LW,14,5,1,6,2,0,5,0,0,2,1,0,0,12,41.7,26,181:26,12:58,1,0,100.0,8,43,1,8,,reinhco01
527,Oskar Back,25,DAL,C,71,5,7,12,10,10,4,0,1,1,7,0,0,41,12.2,80,876:14,12:20,30,38,44.1,37,29,14,37,,backos01
528,Ty Emberson,25,EDM,D,71,2,10,12,0,23,2,0,0,1,10,0,0,43,4.7,108,1098:34,15:28,0,0,,106,107,13,52,,emberty01
529,Barclay Goodrow,32,SJS,RW,80,5,7,12,-17,73,5,0,0,0,7,0,0,66,7.6,122,906:12,11:20,15,24,38.5,59,141,11,37,,goodrba01
530,Matt Grzelcyk,32,CHI,D,69,0,12,12,-9,32,0,0,0,0,8,3,1,68,0.0,159,1170:59,16:58,0,0,,54,28,21,46,,grzelma01
531,Alexander Kerfoot,31,UTA,C,32,6,6,12,-2,23,6,0,0,0,5,0,1,25,24.0,54,402:21,12:34,97,103,48.5,25,27,5,22,,kerfoal01
532,Yan Kuznetsov,23,CGY,D,57,4,8,12,-8,28,4,0,0,1,6,0,2,64,6.3,135,1144:50,20:05,0,0,,102,79,9,61,,kuzneya01
533,Isac Lundeström,26,CBJ,C,67,4,8,12,-1,4,4,0,0,0,8,0,0,53,7.5,87,826:33,12:20,134,123,52.1,34,35,8,37,,lundeis01
534,Ian Moore,24,ANA,D,65,4,8,12,-13,24,4,0,0,1,7,0,1,65,6.2,164,899:43,13:51,0,2,0.0,79,40,20,39,,mooreia01
535,Shakir Mukhamadullin,24,SJS,D,48,5,7,12,-3,18,5,0,0,1,7,0,0,48,10.4,111,818:37,17:03,0,0,,61,33,7,59,,mukhash01
536,Gustav Nyquist,36,WPG,RW,51,1,11,12,-8,10,1,0,0,0,6,5,0,62,1.6,115,646:37,12:41,8,12,40.0,19,28,12,25,,nyquigu01
537,Neal Pionk,30,WPG,D,51,3,9,12,1,37,2,1,0,1,8,1,0,97,3.1,220,1158:12,22:43,0,0,,75,111,15,56,,pionkne01
538,Jayden Struble,24,MTL,D,58,2,10,12,5,58,2,0,0,0,10,0,0,25,8.0,88,809:47,13:58,0,0,,32,115,13,52,,strubja01
539,Cole Smith,30,2TM,F,62,8,4,12,-7,40,8,0,0,2,3,0,1,69,11.6,142,825:37,13:19,6,14,30.0,17,170,14,21,,smithco02
539,Cole Smith,30,NSH,F,42,6,4,10,-7,31,6,0,0,1,3,0,1,51,11.8,104,592:36,14:07,4,12,25.0,12,119,13,15,,smithco02
539,Cole Smith,30,VEG,F,20,2,0,2,0,9,2,0,0,1,0,0,0,18,11.1,38,233:01,11:39,2,2,50.0,5,51,1,6,,smithco02
540,Elmer Söderblom,24,2TM,RW,58,6,6,12,0,21,6,0,0,1,6,0,0,68,8.8,144,641:46,11:04,3,5,37.5,18,98,13,45,,soderel01
540,Elmer Söderblom,24,DET,RW,39,2,1,3,-4,12,2,0,0,1,1,0,0,42,4.8,96,416:22,10:41,2,4,33.3,11,64,7,29,,soderel01
