,,,,,,Scoring,,,,,Goals,,,,Assists,,,Shots,,,Ice Time,,Faceoffs,,,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
339,MacKenzie Weegar,32,2TM,D,77,4,22,26,-32,84,4,0,0,0,15,6,1,153,2.6,386,1738:09,22:34,0,0,,173,166,31,123,,weegama01
339,MacKenzie Weegar,32,CGY,D,60,3,18,21,-35,69,3,0,0,0,12,5,1,125,2.4,313,1386:35,23:07,0,0,,143,130,19,98,,weegama01
339,MacKenzie Weegar,32,UTA,D,17,1,4,5,3,15,1,0,0,0,3,1,0,28,3.6,73,351:34,20:41,0,0,,30,36,12,25,,weegama01
340,Noel Acciari,34,PIT,C,66,13,12,25,14,25,13,0,0,1,12,0,0,93,14.0,165,904:20,13:42,304,281,52.0,60,65,12,22,,acciano01
341,Joel Armia,32,LAK,RW,65,13,12,25,2,30,8,1,4,1,11,0,1,87,14.9,182,914:37,14:04,34,57,37.4,39,74,29,50,,armiajo01
342,Simon Edvinsson,22,DET,D,71,9,16,25,15,75,9,0,0,2,14,1,1,87,10.3,206,1595:08,22:28,0,0,,147,92,26,86,,edvinsi01
343,Adam Gaudette,29,SJS,C,65,17,8,25,-8,20,14,3,0,3,5,3,0,93,18.3,183,747:31,11:30,133,145,47.8,33,51,13,26,,gaudead01
344,Barrett Hayton,25,UTA,C,67,10,15,25,3,54,6,4,0,1,13,2,0,119,8.4,208,1013:14,15:07,409,368,52.6,29,34,13,40,,haytoba01
345,Jonathan Huberdeau,32,CGY,LW,50,10,15,25,-9,41,7,3,0,2,11,4,0,83,12.0,163,906:34,18:08,8,10,44.4,30,30,9,58,,huberjo01
346,Andrei Kuzmenko,29,LAK,F,52,13,12,25,-4,16,5,8,0,3,7,5,0,69,18.8,173,775:37,14:55,0,0,,14,18,10,49,,kuzmean01
347,Adam Larsson,33,SEA,D,80,7,18,25,2,42,7,0,0,1,18,0,0,101,6.9,211,1708:30,21:21,0,0,,161,107,16,52,,larssad01
348,Hampus Lindholm,32,BOS,D,66,5,20,25,-1,58,4,1,0,2,17,3,0,99,5.1,244,1428:58,21:39,0,0,,102,12,25,77,,lindhha01
349,Mason Lohrei,25,BOS,D,72,7,18,25,13,20,5,2,0,0,15,3,0,72,9.7,198,1212:12,16:50,0,0,,91,30,20,93,,lohrema01
350,Jack McBain,26,UTA,C,75,9,16,25,11,84,8,0,1,1,15,0,1,106,8.5,215,1038:30,13:51,329,312,51.3,43,271,9,51,,mcbaija03
351,Jake McCabe,32,TOR,D,79,5,20,25,3,64,5,0,0,0,20,0,0,76,6.6,177,1772:48,22:26,0,0,,188,102,27,83,,mccabja01
352,Alex Newhook,25,MTL,C,41,13,12,25,10,10,11,2,0,2,11,1,0,60,21.7,112,592:42,14:27,122,130,48.4,17,46,2,13,,newhoal01
353,Connor Zary,24,CGY,C,73,12,13,25,-9,20,10,2,0,3,8,5,0,108,11.1,192,1047:56,14:21,76,90,45.8,17,45,14,43,,zaryco01
354,Nicolas Roy,28,2TM,C,72,8,17,25,0,23,6,2,0,0,16,0,1,76,10.5,157,1037:00,14:24,369,334,52.5,37,71,21,60,,royni01
354,Nicolas Roy,28,TOR,C,59,5,15,20,0,10,4,1,0,0,14,0,1,55,9.1,125,870:32,14:45,336,299,52.9,32,61,20,50,,royni01
354,Nicolas Roy,28,COL,C,13,3,2,5,0,13,2,1,0,0,2,0,0,21,14.3,32,166:28,12:48,33,35,48.5,5,10,1,10,,royni01
355,Zeev Buium,20,2TM,D,74,5,20,25,-32,37,2,3,0,1,10,10,0,71,7.0,202,1441:11,19:29,0,0,,50,27,13,86,,buiumze01
355,Zeev Buium,20,MIN,D,31,3,11,14,-9,8,1,2,0,0,5,6,0,31,9.7,84,572:19,18:28,0,0,,15,9,5,32,,buiumze01
355,Zeev Buium,20,VAN,D,43,2,9,11,-23,29,1,1,0,1,5,4,0,40,5.0,118,868:52,20:12,0,0,,35,18,8,54,,buiumze01
356,Ross Colton,29,COL,C,71,9,15,24,9,13,9,0,0,2,15,0,0,151,6.0,289,887:33,12:30,51,54,48.6,25,156,19,51,,coltoro01
357,Ethen Frank,27,WSH,F,62,12,12,24,8,18,10,2,0,0,10,2,0,91,13.2,166,758:41,12:14,1,5,16.7,45,53,8,29,,franket01
358,Frédérick Gaudreau,32,SEA,C,66,7,17,24,2,11,6,1,0,0,15,2,0,70,10.0,156,1067:59,16:11,283,374,43.1,52,31,23,36,,gaudrfr01
359,John Klingberg,33,SJS,D,55,10,14,24,-16,24,5,5,0,2,10,4,0,79,12.7,223,1125:14,20:28,0,0,,62,46,13,74,,klingjo01
360,Noah Laba,22,NYR,C,73,9,15,24,3,31,6,3,0,1,13,2,0,73,12.3,141,985:24,13:30,329,315,51.1,43,110,12,36,,labano01
361,Artyom Levshunov,20,CHI,D,68,2,22,24,-41,44,1,1,0,0,12,10,0,84,2.4,220,1331:24,19:35,0,0,,75,98,16,88,,levshar01
362,Devon Toews,31,COL,D,67,3,21,24,36,32,2,1,0,1,21,0,0,111,2.7,235,1498:41,22:22,0,0,,83,26,28,63,,toewsde01
363,Josh Anderson,31,MTL,RW,72,14,9,23,-4,90,12,0,2,1,7,0,2,89,15.7,173,1009:37,14:01,23,10,69.7,43,129,8,42,,anderjo05
364,Morgan Barron,27,WPG,C,65,11,12,23,5,31,9,0,2,2,12,0,0,92,12.0,169,832:00,12:48,270,315,46.2,40,132,17,33,,barromo01
365,Ian Cole,36,UTA,D,80,3,20,23,17,50,3,0,0,0,19,0,1,61,4.9,173,1461:52,18:16,0,0,,149,73,15,92,,coleia01
366,Nick Cousins,32,OTT,C,80,9,14,23,9,92,9,0,0,1,14,0,0,76,11.8,134,911:22,11:24,13,15,46.4,40,168,17,46,,cousini01
367,Louis Crevier,24,CHI,D,77,5,18,23,-4,63,4,0,1,1,17,0,1,112,4.5,242,1317:34,17:07,0,0,,93,123,15,63,,crevilo01
368,Joel Edmundson,32,LAK,D,80,2,21,23,14,25,2,0,0,0,17,3,1,99,2.0,246,1479:42,18:30,0,0,,109,95,9,83,,edmunjo01
369,Jake Evans,29,MTL,C,67,11,12,23,-8,28,9,0,2,2,12,0,0,73,15.1,155,1032:57,15:25,469,372,55.8,50,87,15,47,,evansja02
370,Darnell Nurse,30,EDM,D,81,7,16,23,-13,104,7,0,0,0,14,0,2,162,4.3,350,1699:53,20:59,0,0,,165,137,19,88,,nurseda01
371,Reilly Smith,34,VEG,RW,68,14,9,23,-11,4,12,1,1,3,9,0,0,90,15.6,160,930:59,13:41,17,36,32.1,12,25,10,61,,smithre01
372,Yakov Trenin,29,MIN,C,81,6,17,23,13,38,6,0,0,1,17,0,0,98,6.1,190,1073:16,13:15,46,74,38.3,38,411,24,62,,treniya01
373,Nick Blankenburg,27,2TM,D,59,7,16,23,-11,10,4,3,0,0,12,4,0,66,10.6,186,994:45,16:52,0,2,0.0,59,53,15,55,,blankni01
373,Nick Blankenburg,27,NSH,D,49,6,15,21,-11,10,3,3,0,0,11,4,0,59,10.2,166,880:14,17:58,0,2,0.0,51,47,15,52,,blankni01
373,Nick Blankenburg,27,COL,D,10,1,1,2,0,0,1,0,0,0,1,0,0,7,14.3,20,114:31,11:27,0,0,,8,6,0,3,,blankni01
374,Jonathan Drouin,30,2TM,LW,63,4,19,23,-4,19,3,1,0,0,14,5,0,83,4.8,160,1064:43,16:54,114,114,50.0,32,17,14,42,,drouijo01
374,Jonathan Drouin,30,NYI,LW,55,3,18,21,-3,19,3,0,0,0,13,5,0,73,4.1,142,942:58,17:09,110,113,49.3,27,13,13,35,,drouijo01
374,Jonathan Drouin,30,STL,LW,8,1,1,2,-1,0,0,1,0,0,1,0,0,10,10.0,18,121:45,15:13,4,1,80.0,5,4,1,7,,drouijo01
375,Alexandre Carrier,29,MTL,D,73,7,15,22,2,34,7,0,0,0,15,0,0,56,12.5,141,1393:03,19:05,0,0,,155,35,28,50,,carrial01
376,Drew Doughty,36,LAK,D,70,5,17,22,3,38,5,0,0,0,15,1,1,98,5.1,251,1618:14,23:07,0,0,,73,47,18,82,,doughdr01
377,Brendan Gallagher,33,MTL,RW,76,6,16,22,-1,39,4,2,0,0,13,3,0,120,5.0,231,939:26,12:22,6,4,60.0,20,97,11,37,,gallabr01
378,Pontus Holmberg,26,TBL,RW,70,11,11,22,1,31,11,0,0,2,11,0,0,90,12.2,199,934:25,13:21,19,33,36.5,31,66,12,46,,holmbpo01
379,Brett Howden,27,VEG,C,57,12,10,22,-9,41,12,0,0,1,7,3,0,65,18.5,118,846:43,14:51,253,252,50.1,19,99,13,47,,howdebr01
380,Kent Johnson,23,CBJ,C,75,7,15,22,-8,18,6,1,0,0,14,1,0,113,6.2,232,995:26,13:16,0,1,0.0,37,15,11,47,,johnske01
381,Pavel Mintyukov,22,ANA,D,71,8,14,22,-2,17,8,0,0,2,11,2,1,78,10.3,197,1311:32,18:28,0,0,,109,38,17,66,,mintypa01
382,Jared Spurgeon,36,MIN,D,79,6,16,22,2,14,4,2,0,2,12,4,0,90,6.7,204,1547:45,19:36,0,0,,137,82,15,56,,spurgja01
383,Kailer Yamamoto,27,UTA,RW,57,12,10,22,11,14,12,0,0,2,10,0,0,56,21.4,86,671:34,11:47,21,30,41.2,19,45,16,21,,yamamka01
384,Nikita Zadorov,30,BOS,D,80,2,20,22,18,150,2,0,0,1,20,0,0,104,1.9,257,1672:14,20:54,0,0,,101,196,33,94,,zadorni01
385,Olen Zellweger,22,ANA,D,76,7,15,22,4,34,6,1,0,1,13,2,0,119,5.9,302,1290:11,16:59,0,0,,85,33,19,64,,zellwol01
386,Jonatan Berggren,25,2TM,RW,50,8,14,22,-3,12,5,3,0,2,14,0,0,58,13.8,128,689:52,13:48,3,2,60.0,14,40,8,41,,berggjo02
386,Jonatan Berggren,25,DET,RW,15,2,4,6,-3,6,1,1,0,0,4,0,0,20,10.0,44,179:45,11:59,0,0,,3,10,1,14,,berggjo02
386,Jonatan Berggren,25,STL,RW,35,6,10,16,0,6,4,2,0,2,10,0,0,38,15.8,84,510:07,14:34,3,2,60.0,11,30,7,27,,berggjo02
387,Dalibor Dvorsky,20,STL,C,69,12,9,21,-2,26,7,5,0,0,7,2,0,88,13.6,175,991:11,14:22,324,378,46.2,24,77,9,45,,dvorsda01
388,Mario Ferraro,27,SJS,D,80,6,15,21,1,35,6,0,0,0,15,0,0,90,6.7,200,1684:12,21:03,0,0,,146,133,34,87,,ferrama01
389,Tanner Jeannot,28,BOS,F,76,6,15,21,-6,66,6,0,0,1,14,1,0,76,7.9,178,958:24,12:37,8,10,44.4,57,237,6,43,,jeannta01
390,Adam Lowry,32,WPG,LW,68,5,16,21,-5,30,4,0,1,1,15,0,1,68,7.4,157,1017:24,14:58,508,414,55.1,47,150,18,35,,lowryad01
391,Ryan McDonagh,36,TBL,D,48,6,15,21,14,6,6,0,0,0,15,0,0,39,15.4,106,924:18,19:15,0,0,,76,19,14,47,,mcdonry01
392,Axel Sandin Pellikka,20,DET,D,67,7,14,21,-20,18,6,1,0,1,8,6,0,68,10.3,205,1087:14,16:14,0,0,,53,16,8,59,,sandiax01
393,Nate Schmidt,34,UTA,D,80,5,16,21,28,22,5,0,0,1,16,0,0,83,6.0,223,1580:35,19:45,0,0,,94,78,14,71,,schmina01
394,Alex Vlasic,24,CHI,D,80,2,19,21,-19,17,2,0,0,0,18,0,1,84,2.4,211,1690:25,21:08,0,0,,118,28,27,91,,vlasial01
395,Michael Anderson,26,LAK,D,78,4,16,20,6,22,4,0,0,1,16,0,0,60,6.7,168,1604:14,20:34,0,0,,129,108,14,53,,andermi02
396,Mark Jankowski,31,CAR,C,67,10,10,20,6,16,10,0,0,2,8,2,0,62,16.1,134,740:43,11:03,351,334,51.2,42,44,11,35,,jankoma01
397,Mark Kastelic,26,BOS,C,81,10,10,20,3,140,9,0,1,4,9,1,0,96,10.4,213,1021:08,12:36,335,218,60.6,64,213,29,42,,kastema01
398,Sean Kuraly,33,BOS,C,81,6,14,20,-2,41,6,0,0,1,14,0,0,108,5.6,194,1075:07,13:16,335,320,51.1,46,87,18,57,,kuralse01
399,Philipp Kurashev,26,SJS,C,42,7,13,20,0,16,7,0,0,1,11,2,0,61,11.5,112,651:21,15:31,34,45,43.0,12,39,8,31,,kurasph01
400,Jake Walman,29,EDM,D,52,8,12,20,-16,10,5,1,2,1,11,1,0,93,8.6,201,974:28,18:44,0,0,,90,15,14,58,,walmaja01
